,r2,r3,r4,r5
1993-04,0.0749334595602232,0.1062991941322915,0.1340100305668561,0.1524247609131098
1993-05,0.0671378621722255,0.0903944963278132,0.1123451174344495,0.1313736228574377
1993-06,0.060987152700268,0.0839406395465236,0.1078570472596714,0.1255751784271389
1993-07,0.052255649478132,0.0679225896821447,0.0864636183604511,0.098833069442683
1993-08,0.0486397132429054,0.0656007593912466,0.0868700138879497,0.101562180923117
1993-09,0.0417563247991484,0.0551410770104168,0.0730875291929661,0.0859770326351616
1993-10,0.0545223116014772,0.0732617594042942,0.0973195941964074,0.1170229254789255
1993-11,0.0584615993205444,0.0794459460159179,0.1026947169428527,0.1159415320318668
1993-12,0.0536105025587267,0.0722176329594619,0.0933328098151982,0.104897501917542
1994-01,0.0492651899693639,0.062092417607828,0.0765178779488827,0.0939293470625108
1994-02,0.0378889474346027,0.0400852802507086,0.0473204000836955,0.051889891843789
1994-03,0.033540280386221,0.0314433236829743,0.0284818156075951,0.0231464148743019
1994-04,0.0256687768317251,0.0167104595111589,0.0099867392829371,0.0005821361974968
1994-05,0.030978605353676,0.0216834414332336,0.0137030121727142,0.0081160168353434
1994-06,0.0253833217352978,0.0103170338836727,-0.0018034051715638,-0.0168012261643675
1994-07,0.0287840460116473,0.0175817721709578,0.0065073527806722,0.0001556642325654
1994-08,0.021997448684231,0.0050950043416666,-0.0111071472384786,-0.0234448531313838
1994-09,0.0182126719675779,-0.0039213730709247,-0.0219877034147362,-0.0427987256770777
1994-10,0.0185161686599115,-0.005523047599986,-0.0265330885891288,-0.048834696689312
1994-11,0.0150497206397221,-0.0091958639682273,-0.0290952505503631,-0.0473864156984562
1994-12,0.0125889768047428,-0.0162773917099558,-0.0327288877127709,-0.0476267829180633
1995-01,0.0141021141324701,-0.0094697133875433,-0.0295800793208598,-0.0446526790778519
1995-02,0.0292379918233114,0.0173476384493856,0.0096750099937891,0.0034978685488004
1995-03,0.0398396722475705,0.036474316526835,0.0345492653326983,0.0333949953068167
1995-04,0.0512260644836639,0.053924286696752,0.0580683107727013,0.0599348444447936
1995-05,0.0615389022980699,0.0739922790786866,0.0859332564987027,0.0978466613248935
1995-06,0.0661025849469593,0.0775692637320468,0.0953304152135539,0.1098395158800744
1995-07,0.0626424868860845,0.0711101053264446,0.0810290156261548,0.0906803386928451
1995-08,0.0654260736605572,0.0758274031357906,0.0871989567183409,0.098563150194698
1995-09,0.0732363634679071,0.0892701623810351,0.1066162880035242,0.1237503942900108
1995-10,0.0794871362064619,0.0999882182780329,0.1203300749527912,0.1408949465392548
1995-11,0.0919535886645514,0.1198559469611108,0.1438248260635261,0.1652733837762684
1995-12,0.0990623948788233,0.1285131555158202,0.1523447188885046,0.1717930856825431
1996-01,0.093601843169819,0.121974732967255,0.144945966624978,0.1652835437841779
1996-02,0.0820185503543511,0.0971705625547485,0.1113837399604199,0.1228986180680337
1996-03,0.079054087281266,0.0907476383415135,0.1010207778361625,0.1078900894353178
1996-04,0.0743876783339621,0.0803702578871436,0.0859598401258029,0.0875373255499605
1996-05,0.0589315755220196,0.0533596095807913,0.0474778783948824,0.0394859514449679
1996-06,0.0574934161687946,0.0537476669893825,0.0487033215499146,0.0409670166363819
1996-07,0.0572039511663726,0.0568447091982692,0.0537349341348863,0.0465465021521789
1996-08,0.0567763337050566,0.0514608394738182,0.0450982080130094,0.0355767959920164
1996-09,0.0580147417032821,0.0550838184651011,0.0508451130485443,0.0421854706603355
1996-10,0.0563258510912246,0.0562636864498953,0.0545436272724736,0.0476354809128348
1996-11,0.0517998158622271,0.0507028949696121,0.0489518687852073,0.0442741166529525
1996-12,0.0474709375724689,0.0401799372213582,0.0328197297228139,0.022485895106735
1997-01,0.0426059984292714,0.0340022702641567,0.0256469395711208,0.0161770881178518
1997-02,0.0513255698822725,0.0446982465246185,0.0403098265099372,0.0332016997846401
1997-03,0.0549516917954662,0.0492482349502274,0.0450186398637204,0.0369357337819976
